Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Coordenada Norte (Y);Unidade de Medida (X);Coordenada Leste (X);Unidade de Medida (Z);Cota (Z);Unidade de Medida (AB)
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;30/01/2009;00:00;;Vetor Deslocamento;1,52293;m;7.775.774,94;m;612.783,57;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;21/01/2009;00:00;;Vetor Deslocamento;1,52293;m;7.775.774,94;m;612.783,57;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;14/01/2009;00:00;;Vetor Deslocamento;1,52293;m;7.775.774,94;m;612.783,57;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;07/01/2009;00:00;;Vetor Deslocamento;1,51323;m;7.775.774,95;m;612.783,57;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;31/12/2008;00:00;;Vetor Deslocamento;1,52293;m;7.775.774,94;m;612.783,57;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;10/12/2008;00:00;;Vetor Deslocamento;1,51467;m;7.775.774,95;m;612.783,56;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;26/11/2008;00:00;;Vetor Deslocamento;1,51467;m;7.775.774,95;m;612.783,56;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;07/07/2008;00:00;;Vetor Deslocamento;1,51822;m;7.775.774,945;m;612.783,569;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;04/07/2008;00:00;;Vetor Deslocamento;1,51822;m;7.775.774,945;m;612.783,569;m;1.446,23;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;30/06/2008;00:00;;Vetor Deslocamento;1,51888;m;7.775.774,945;m;612.783,579;m;1.446,24;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;27/06/2008;00:00;;Vetor Deslocamento;1,51057;m;7.775.774,955;m;612.783,569;m;1.446,24;m
36425;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;SETOR NOROESTE DA CAVA;CMTCVCTMP013;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;23/06/2008;00:00;;Vetor Deslocamento;1,51625;m;7.775.774,945;m;612.783,569;m;1.446,22;m
